port,espece_categorie,ca_2024_kdh,ca_2025_kdh,vol_2024_t,vol_2025_t,delegation,ca_diff_kdh,reduction_pct
HALLE JORF AL ASFAR,ALGUES,18274.7715,27943.521,6091.590500000001,9314.507,CASA SETTAT,9668.749500000002,52.907635534594796
HALLE JORF AL ASFAR,CRUSTACES,5055.19699,1420.63,87.50349999999999,33.2615,CASA SETTAT,-3634.5669900000003,-71.89763321171783
HALLE JORF AL ASFAR,POISSON PELAGIQUE,65020.51874,56144.999,13572.307999999999,10605.708,CASA SETTAT,-8875.519739999996,-13.650336712155237
HALLE JORF AL ASFAR,POISSON BLANC,4808.56476,2547.71785,121.15599999999999,75.98249999999999,CASA SETTAT,-2260.84691,-47.01708353408971
HALLE JORF AL ASFAR,CEPHALOPODES,9721.803120000002,10324.18267,130.66400000000002,126.25800000000001,CASA SETTAT,602.3795499999978,6.196171045274138
CAPI AGADIR,POISSON PELAGIQUE,127500.86938,104700.18273999999,34439.472,30176.206000000002,SOUSS MASSA,-22800.686640000014,-17.882769545708342
CAPI AGADIR,POISSON BLANC,42.726,0.0,7.121,0.0,SOUSS MASSA,-42.726,-100.0
HALLE LAKRAA,POISSON PELAGIQUE,870.72402,748.9453900000001,124.34649999999999,110.33200000000001,LAAYOUNE SAKIA LHAMRA,-121.77862999999991,-13.985904511971533
HALLE LAKRAA,POISSON BLANC,11602.660460000001,16509.01214,440.1175,588.971,LAAYOUNE SAKIA LHAMRA,4906.351679999998,42.28643677813871
HALLE LAKRAA,CEPHALOPODES,47764.6155,29738.57901,741.0835,318.9905,LAAYOUNE SAKIA LHAMRA,-18026.03649,-37.739310368781254
HALLE LAKRAA,CRUSTACES,0.22,0.0,0.002,0.0,LAAYOUNE SAKIA LHAMRA,-0.22,-100.0
HALLE TANTAN,POISSON PELAGIQUE,59796.295,58452.71575,5398.217499999999,5188.37449,GON,-1343.5792499999952,-2.2469272552755903
HALLE TANTAN,CRUSTACES,9349.810700000002,13296.72462,190.43599999999998,187.093,GON,3946.913919999999,42.213837762512114
HALLE TANTAN,POISSON BLANC,238304.06253,307394.95824,10804.782999999998,13115.780999999999,GON,69090.89571000001,28.99274774272981
HALLE TANTAN,CEPHALOPODES,365805.30746,413552.37591000006,5657.486,6032.655000000001,GON,47747.06845000008,13.052590401581615
MG RABAT,POISSON PELAGIQUE,1922.3763,1589.4088000000002,503.35200000000003,401.9620000000001,CASA SETTAT,-332.96749999999975,-17.320620317676607
MG RABAT,CEPHALOPODES,149.6595,189.5245,7.395,11.101,CASA SETTAT,39.86499999999998,26.637132958482407
MG RABAT,POISSON BLANC,1822.8759000000002,2146.7293999999997,200.556,220.456,CASA SETTAT,323.8534999999995,17.76607502463549
MG RABAT,COQUILLAGES,82.61999999999999,124.1,4.131,6.205,CASA SETTAT,41.480000000000004,50.20576131687244
MG RABAT,CRUSTACES,259.565,308.244,13.450000000000001,15.554999999999998,CASA SETTAT,48.67900000000003,18.754069308265763
HALLE TAGHAZOUT,CEPHALOPODES,5715.0305,5301.0215,66.4915,49.87499999999999,SOUSS MASSA,-414.009,-7.244213307348053
HALLE TAGHAZOUT,CRUSTACES,9.608,0.0,0.0468,0.0,SOUSS MASSA,-9.608,-100.0
HALLE TAGHAZOUT,POISSON BLANC,96.8675,4.736000000000001,1.267,0.0605,SOUSS MASSA,-92.1315,-95.1108472914032
HALLE TAGHAZOUT,POISSON PELAGIQUE,53.03,1.2,14.324,0.4,SOUSS MASSA,-51.83,-97.73712992645672
HALLE LACRAA(CAP 7),COQUILLAGES,323.01500000000004,306.62800000000004,46.145,43.804,LAAYOUNE SAKIA LHAMRA,-16.387,-5.073139018311842
HALLE LACRAA(CAP 7),POISSON BLANC,11707.28101,13055.65718,281.005,290.8825,LAAYOUNE SAKIA LHAMRA,1348.3761699999995,11.517415263614652
HALLE LACRAA(CAP 7),POISSON PELAGIQUE,39.124810000000004,30.42483,2.308,1.8445,LAAYOUNE SAKIA LHAMRA,-8.699980000000004,-22.23647859248391
HALLE LACRAA(CAP 7),ALGUES,4579.6525,7634.802,1505.7175,2544.934,LAAYOUNE SAKIA LHAMRA,3055.1494999999995,66.71138257760822
HALLE LACRAA(CAP 7),CRUSTACES,6.5,9.090000000000002,0.044,0.062,LAAYOUNE SAKIA LHAMRA,2.5900000000000016,39.84615384615387
HALLE LACRAA(CAP 7),CEPHALOPODES,388088.7151199999,291229.47936,5361.8295,3428.6384999999996,LAAYOUNE SAKIA LHAMRA,-96859.2357599999,-24.958013976276096
MG CASABLANCA,CRUSTACES,16787.9749,16463.5246,1452.396,1485.178,CASA SETTAT,-324.4503000000004,-1.9326351268252158
MG CASABLANCA,AUTRE,142.03199999999995,33.326,23.125999999999998,1.28,CASA SETTAT,-108.70599999999996,-76.53627351582742
MG CASABLANCA,CEPHALOPODES,4265.002,5006.316000000001,446.22400000000005,572.362,CASA SETTAT,741.3140000000003,17.381328308873016
MG CASABLANCA,POISSON PELAGIQUE,274466.3088,257034.06240000002,72739.94199999998,65637.568,CASA SETTAT,-17432.246399999975,-6.351324676684681
MG CASABLANCA,POISSON BLANC,171621.50890000002,179260.11017,36333.151999999995,38318.373999999996,CASA SETTAT,7638.601269999985,4.4508414586022695
MG CASABLANCA,COQUILLAGES,0.336,0.0,0.048,0.0,CASA SETTAT,-0.336,-100.0
HALLE CASABLANCA,POISSON PELAGIQUE,39402.70885,44166.52632999999,9560.5329,7197.284000000001,CASA SETTAT,4763.817479999991,12.090076086228246
HALLE CASABLANCA,POISSON BLANC,34771.76831,38496.97356,1076.50266,1390.7401,CASA SETTAT,3725.205249999999,10.713304013729633
HALLE CASABLANCA,CEPHALOPODES,94989.64527000001,123620.89572,1193.48132,1461.2577299999998,CASA SETTAT,28631.250449999992,30.141443700119197
HALLE CASABLANCA,CRUSTACES,58292.384869999994,71736.39933,1655.5304800000001,2202.8003200000003,CASA SETTAT,13444.014460000006,23.063071600144685
